SMILES
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccccc2C(F)(F)F)OCc2cn(nn2)CCCC1=O
CCOC(=O)C(CC)Sc1nc2c(c(=O)[nH]c(=O)n2C)n1C/C=C(/C)Cl
C=CCN1C(=O)NC(=O)/C(=C\Nc2ccc(OC)cc2C)C1=O
O=C([C@H]1[C@@H]2N[C@@H](Cn3c2ccc(-c2ccccc2)c3=O)[C@@H]1CO)N1CCCCC1
COc1ccc2nc(O)c(CN(CCc3ccccc3)C(C)=O)cc2c1
CC1=C2[C@H]3OC(=O)[C@@H](C)[C@@H]3CC[C@@]2(C)C=CC1=O
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(-c3ccccc3)cc2)OCc2cn(nn2)CCCC1=O
CO[C@H]1CN(C)C(=O)c2ccc(NC(C)=O)cc2OC[C@H](C)N(C(=O)c2ccccc2)C[C@@H]1C
CN1CCN(C(=O)C[C@@H]2C[C@@H]3c4cc(NC(=O)Cc5ccncc5)ccc4O[C@@H]3[C@H](CO)O2)CC1
C[C@H]1CN([C@@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@H]1CN(C)C
